stadium_id,stadium_name,zip_code,stadium_address
Kji6g_2za_yAGJAgeD6mgw,Illusion Magic Lounge,90401,"['1418 4th St', 'Santa Monica, CA 90401']"
HXS8bZOaI-gHl8sMFn5Q_A,Laemmle Monica Film Center,90401,"['1332 2nd St', 'Santa Monica, CA 90401']"
MMgbVtzppKg4WiacUiQCEQ,The Dollface Dames,90401,"['1418 4th St', 'Ste 2', 'Santa Monica, CA 90401']"
mHAUf52qSLOLhoLt1PdWsA,Santa Monica Playhouse,90401,"['1211 4th St', 'Santa Monica, CA 90401']"
OcUxaL7TbnbD0DgYhWRq4w,AMC Santa Monica 7,90401,"['1310 3rd St', 'Santa Monica, CA 90401']"
dflWw1FeTHAihM_Amh8egg,Los Angeles Performance Center,90401,"['1404 3rd St Promenade', 'Santa Monica, CA 90401']"
XJ1O977cjIlzmii55mCWNg,Santa Monica College,90405,"['1900 Pico Blvd', 'Santa Monica, CA 90405']"
sdAdLG13N-461U3StnQTvg,Awesome Game Truck To You,91367,"['Woodland hills, CA 91367']"
tHLrUKuWAEgtpTRrVtXqZw,Long Beach Arena,90802,"['300 East Ocean Boulevard', 'Long Beach, CA 90802']"
mV44NApwvbZsamir26Z-XQ,Cinemark At The Pike and XD,90802,"['99 South Pine Ave', 'Long Beach, CA 90802']"
xtnpR4lCCDL4coLwxojxOw,The 6740,90601,"['6740 Greenleaf Ave', 'Whittier, CA 90601']"
yXI4hEucAc5WYwnGY7URyg,Renaissance Plaza,91801,"['1 E Main St', 'Alhambra, CA 91801']"
CIVdUWy8KevSfFqgDcoRpg,Vineland Drive-In,91746,"['443 Vineland Ave', 'City of Industry, CA 91746']"
pEye61wjz6s8KEliGqc9vw,AMC Montebello 10,90640,"['1475 N. Montebello Blvd', 'Montebello, CA 90640']"
bEyTUZc8rReO8pbs9jI-LA,Industry Hills Expo Center,91744,"['16200 Temple Ave', 'City of Industry, CA 91744']"
-ebo7ui-aV_hLWsaSfPV4w,Bishop Amat Memorial High School,91746,"['14301 Fairgrove Ave', 'La Puente, CA 91746']"
Ue3ffAQ5mC6SDb-qpz5dTA,Regal La Habra,90631,"['1351 W Imperial Hwy', 'La Habra, CA 90631']"
_N7abtt31lgkP8CrGHrCaA,Lion's Field,92835,"['1440 N Brea Blvd', 'Fullerton, CA 92835']"
