zip_code,place_name,population,median_income,median_unit_price,num_traderjoes,num_stadiums,num_coffee,longitude,latitude
90057,Los Angeles (Westlake),47142,46513.0,508.07754442649434,0.0,0.0,1.0,-118.2763,34.0622
90058,"Los Angeles (Southeast Los Angeles), Vernon",3049,34093.0,508.1818181818182,0.0,1.0,2.0,-118.2133,33.9994
90059,"Los Angeles (Southeast Los Angeles, Watts), Willowbrook",39471,50939.0,482.83383262158196,0.0,0.0,2.0,-118.2463,33.9293
90061,Los Angeles (South Los Angeles),28646,56837.0,441.4650098103335,0.0,0.0,2.0,-118.2716,33.9245
90062,Los Angeles (South Los Angeles),33528,61422.0,466.02796478508543,0.0,0.0,1.0,-118.3073,34.0032
90063,"City Terrace, Los Angeles (Boyle Heights)",52008,69307.0,436.153175927744,0.0,0.0,4.0,-118.1859,34.0451
90064,"Los Angeles (Cheviot Hills, Rancho Park)",25956,123929.0,934.4894026974952,2.0,1.0,5.0,-118.4259,34.0353
90065,"Los Angeles (Cypress Park, Glassell Park, Mt Washington)",44897,88329.0,683.6364330286433,0.0,1.0,7.0,-118.2266,34.1073
90066,"Culver City, Los Angeles (Mar Vista)",54142,100344.0,969.3877551020408,0.0,2.0,15.0,-118.4298,34.003
90067,Los Angeles (Century City),2653,125995.0,815.3573040112095,0.0,1.0,11.0,-118.4095,34.0551
90068,Los Angeles (Hollywood),21064,97151.0,812.4661246612466,0.0,2.0,5.0,-118.3305,34.1156
90069,"Los Angeles (Hollywood, Melrose), West Hollywood",20045,106133.0,970.5378197482858,1.0,4.0,9.0,-118.3788,34.0906
90071,"Los Angeles (Downtown Bunker Hill, City West, Historic Core, South Park-North)",313,0.0,0.0,0.0,2.0,9.0,-118.2549,34.0529
90073,Veterans Administration,1014,0.0,0.0,0.0,0.0,0.0,-118.2987,33.7866
90077,"Los Angeles (Bel Air Estates, Beverly Glen)",7868,203194.0,1090.7782419020232,0.0,0.0,5.0,-118.4502,34.1112
90089,Los Angeles (University of Southern California),4164,0.0,0.0,1.0,2.0,0.0,-118.2987,33.7866
90094,Los Angeles (Playa Vista),11891,156536.0,797.5613275613275,0.0,2.0,5.0,-118.417,33.9754
90201,"Bell, Bell Gardens, Cudahy",95134,53692.0,439.0386869871043,0.0,1.0,3.0,-118.1689,33.9767
90201,"Bell, Bell Gardens, Cudahy",95134,53692.0,439.0386869871043,0.0,1.0,1.0,-118.1689,33.9767
90210,Beverly Hills,19180,172285.0,1375.4170118751726,0.0,1.0,7.0,-118.4065,34.0901
90211,Beverly Hills,9208,115025.0,872.48322147651,0.0,3.0,9.0,-118.383,34.0652
90212,Beverly Hills,10881,101963.0,929.1178714048548,0.0,0.0,6.0,-118.3995,34.0619
90220,"Compton, Rancho Dominguez",49101,69901.0,425.7806104399855,0.0,0.0,4.0,-118.2402,33.8748
90221,"Compton, East Rancho Dominguez",52119,64439.0,451.0736837473323,0.0,0.0,3.0,-118.2168,33.8796
90222,"Compton, Rosewood, Willowbrook",33021,68722.0,502.9239766081872,0.0,0.0,1.0,-118.2357,33.9099
90230,Culver City,32005,107870.0,677.8996865203761,1.0,1.0,2.0,-118.3991,33.9949
90232,Culver City,16352,113278.0,992.8571428571428,1.0,2.0,13.0,-118.3973,34.0168
90240,Downey,26026,99874.0,489.778890279516,0.0,0.0,2.0,-118.1174,33.9581
90241,Downey,45341,81220.0,496.1762988908348,0.0,0.0,5.0,-118.1306,33.9416
90242,Downey,41685,81448.0,527.0184361093452,0.0,1.0,4.0,-118.1395,33.9218
90245,El Segundo,17081,142596.0,743.2253800396563,0.0,0.0,11.0,-118.4119,33.9243
90247,Gardena,47682,70012.0,428.07339449541286,0.0,0.0,8.0,-118.2961,33.8925
90248,Gardena,11453,75865.0,475.4086181277861,0.0,0.0,7.0,-118.2835,33.8766
90249,Gardena,25929,83125.0,532.3778386050284,0.0,1.0,14.0,-118.3199,33.8998
90250,Hawthorne (Holly Park),96200,74616.0,619.9186991869918,0.0,0.0,6.0,-118.3493,33.9143
90254,Hermosa Beach,19551,149500.0,1106.390838566679,1.0,1.0,12.0,-118.3955,33.8643
90255,"Huntington Park, Walnut Park",71654,57013.0,402.67391500291615,0.0,0.0,8.0,-118.2161,33.9769
90260,Lawndale,33282,80205.0,531.5237723407292,0.0,0.0,0.0,-118.351,33.8879
90262,Lynwood,66073,67620.0,437.499375,0.0,0.0,8.0,-118.2013,33.9241
90263,Malibu (Pepperdine University),1803,0.0,0.0,0.0,3.0,1.0,-118.2987,33.7866
90265,Malibu,16652,186264.0,1418.2568334192883,0.0,1.0,22.0,-118.7351,34.0402
90266,Manhattan Beach,35123,187217.0,1373.946856772521,2.0,1.0,13.0,-118.3996,33.8896
90270,"Bell, Maywood",24950,57741.0,476.1620977353993,0.0,0.0,2.0,-118.1877,33.989
90272,"Los Angeles (Castellemare, Pacific Highlands, Pacific Palisades, Topanga State Park)",21298,225256.0,1260.9643640350878,0.0,1.0,7.0,-118.5422,34.0787
90274,"Palos Verdes Estates, Rolling Hills, Rolling Hills Estates",24942,206013.0,915.3960490985808,0.0,1.0,2.0,-118.2987,33.7866
90275,"Palos Verdes Estates, Rancho Palos Verdes, Rolling Hills Estates",41941,166602.0,735.9573595735957,2.0,2.0,3.0,-118.367,33.7515
90277,"Redondo Beach, Torrance",36339,120008.0,848.1989708404802,1.0,1.0,12.0,-118.3832,33.8307
